V1_gene	Annotation_gene	Min_gene_overlap_percent
VIT_18s0041g01220	Vitvi05_01chr18g30970	80.9
VIT_18s0041g01880	Vitvi05_01chr18g31960	83
VIT_18s0072g00160	Vitvi05_01chr18g23950	92.2
VIT_18s0072g00260	Vitvi05_01chr18g24180	55.2
VIT_18s0072g00450	Vitvi05_01chr18g24460	73.3
VIT_18s0072g00820	Vitvi05_01chr18g24970	58.3
VIT_18s0072g01010	Vitvi05_01chr18g25270	51.5
VIT_18s0072g01110	Vitvi05_01chr18g25490	64.5
VIT_18s0076g00210	Vitvi05_01chr18g19490	96.2
VIT_18s0076g00250	Vitvi05_01chr18g19450	70.4
VIT_18s0086g00320	Vitvi05_01chr18g20520	81.6
VIT_18s0086g00680	Vitvi05_01chr18g20810	91.5
VIT_18s0089g00160	Vitvi05_01chr18g35520	77.1
VIT_18s0089g01170	Vitvi05_01chr18g37010	76.2
VIT_18s0089g01420	Vitvi05_01chr18g37360	83.4
VIT_18s0117g00140	Vitvi05_01chr18g28120	77.6
VIT_18s0117g00550	Vitvi05_01chr18g27580	84.7
VIT_18s0122g00280	Vitvi05_01chr18g00300	80.9
VIT_18s0122g00330	Vitvi05_01chr18g00340	53.7
VIT_18s0122g00360	Vitvi05_01chr18g00370	67.4
VIT_18s0122g00420	Vitvi05_01chr18g21650	77
VIT_18s0122g00610	Vitvi05_01chr18g00630	87.5
VIT_18s0122g00620	Vitvi05_01chr18g00640	70.5
VIT_18s0122g00850	Vitvi05_01chr18g00870	74.2
VIT_18s0122g00980	Vitvi05_01chr18g01010	75.5
VIT_18s0122g01140	Vitvi05_01chr18g01130	90.9
VIT_18s0157g00090	Vitvi05_01chr18g23680	90.2
VIT_18s0157g00180	Vitvi05_01chr18g23590	99
VIT_18s0164g00100	Vitvi05_01chr18g21090	74.7
VIT_19s0014g00090	Vitvi05_01chr19g00100	76.1
VIT_19s0014g00110	Vitvi05_01chr19g00120	81.6
VIT_19s0014g00160	Vitvi05_01chr19g00240	57.2
VIT_19s0014g00410	Vitvi05_01chr19g00650	96
VIT_19s0014g00450	Vitvi05_01chr19g00700	84.6
VIT_19s0014g00460	Vitvi05_01chr19g00710	88.1
VIT_19s0014g00790	Vitvi05_01chr19g01040	64.8
VIT_19s0014g01350	Vitvi05_01chr19g01890	79.6
VIT_19s0014g01780	Vitvi05_01chr19g02480	67.9
VIT_19s0014g01800	Vitvi05_01chr19g02540	85.7
VIT_19s0014g01950	Vitvi05_01chr19g02720	83.7
VIT_19s0014g02120	Vitvi05_01chr19g03000	76.3
VIT_19s0014g02130	Vitvi05_01chr19g03020	79.1
VIT_19s0014g02180	Vitvi05_01chr19g03070	56.8
VIT_19s0014g02190	Vitvi05_01chr19g03080	95.1
VIT_19s0014g02390	Vitvi05_01chr19g03300	68
VIT_19s0014g02740	Vitvi05_01chr19g03690	86
VIT_19s0014g02830	Vitvi05_01chr19g03820	92.2
VIT_19s0014g02970	Vitvi05_01chr19g04070	90.6
VIT_19s0014g03190	Vitvi05_01chr19g04430	56.3
VIT_19s0014g03240	Vitvi05_01chr19g04480	91
VIT_19s0014g03290	Vitvi05_01chr19g04530	90.5
VIT_19s0014g03420	Vitvi05_01chr19g04700	68.1
VIT_19s0014g03460	Vitvi05_01chr19g04770	74.5
VIT_19s0014g03610	Vitvi05_01chr19g04910	89.6
VIT_19s0014g03660	Vitvi05_01chr19g04970	95.5
VIT_19s0014g03850	Vitvi05_01chr19g05210	75.9
VIT_19s0014g03910	Vitvi05_01chr19g05420	60.1
VIT_19s0014g04540	Vitvi05_01chr19g06290	76.6
VIT_19s0014g04650	Vitvi05_01chr19g06380	60.1
VIT_19s0014g04790	Vitvi05_01chr19g06620	84.8
VIT_19s0014g05080	Vitvi05_01chr19g06950	71.1
VIT_19s0014g05330	Vitvi05_01chr19g07240	68.5
VIT_19s0014g05430	Vitvi05_01chr19g07380	53.8
VIT_19s0015g00530	Vitvi05_01chr19g10790	56.8
VIT_19s0015g00540	Vitvi05_01chr19g10800	97.6
VIT_19s0015g00710	Vitvi05_01chr19g10990	59.2
VIT_19s0015g01000	Vitvi05_01chr19g11330	85.3
VIT_19s0015g01250	Vitvi05_01chr19g11650	78.1
VIT_19s0015g01900	Vitvi05_01chr19g12930	82.2
VIT_19s0015g02480	Vitvi05_01chr19g14120	65.3
VIT_19s0015g02500	Vitvi05_01chr19g14190	67.6
VIT_19s0015g02590	Vitvi05_01chr19g14390	79.5
VIT_19s0015g02680	Vitvi05_01chr19g14530	73.5
VIT_19s0015g02700	Vitvi05_01chr19g14560	66.9
VIT_19s0015g02880	Vitvi05_01chr19g14860	83.7
VIT_19s0015g02910	Vitvi05_01chr19g15020	73.8
VIT_19s0027g01060	Vitvi05_01chr19g20020	55.5
VIT_19s0085g00050	Vitvi05_01chr19g21610	83.1
VIT_19s0085g00460	Vitvi05_01chr19g22100	69.5
VIT_19s0085g00470	Vitvi05_01chr19g22110	63
VIT_19s0085g00740	Vitvi05_01chr19g22430	80
VIT_19s0085g00880	Vitvi05_01chr19g22620	92.9
VIT_19s0085g01050	Vitvi05_01chr19g22870	64.5
VIT_19s0085g01170	Vitvi05_01chr19g23020	86.5
VIT_19s0090g00330	Vitvi05_01chr19g08330	80.7
VIT_19s0090g00710	Vitvi05_01chr19g08720	80.9
VIT_19s0090g00830	Vitvi05_01chr19g08830	76.4
VIT_19s0090g01000	Vitvi05_01chr19g09070	83.4
VIT_19s0090g01040	Vitvi05_01chr19g09110	81.8
VIT_19s0090g01070	Vitvi05_01chr19g09140	65.5
VIT_19s0090g01170	Vitvi05_01chr19g09220	74.5
VIT_19s0090g01230	Vitvi05_01chr19g09300	93.5
VIT_19s0090g01340	Vitvi05_01chr19g09420	90
VIT_19s0090g01350	Vitvi05_01chr19g09450	54.4
VIT_19s0090g01360	Vitvi05_01chr19g09480	54.1
VIT_19s0090g01370	Vitvi05_01chr19g09490	82.9
VIT_19s0090g01470	Vitvi05_01chr19g09600	68.3
VIT_19s0090g01490	Vitvi05_01chr19g09630	89.5
VIT_19s0090g01780	Vitvi05_01chr19g09970	91.8
VIT_19s0093g00160	Vitvi05_01chr19g17550	86.1
VIT_19s0093g00220	Vitvi05_01chr19g17470	55.8
VIT_19s0093g00310	Vitvi05_01chr19g17400	56
VIT_19s0093g00510	Vitvi05_01chr19g16950	94.7
VIT_19s0135g00060	Vitvi05_01chr19g15540	78.9
VIT_19s0140g00140	Vitvi05_01chr19g16180	62.2
VIT_19s0177g00200	Vitvi05_01chr19g07640	53.6
VIT_19s0177g00230	Vitvi05_01chr19g07670	94.1
VIT_19s0177g00280	Vitvi05_01chr19g07730	91.3
VIT_19s0177g00340	Vitvi05_01chr19g07820	79.8
